Timestamp,Open,High,Low,Close,Volume,OI
1674035618,81.8275,81.83,81.8275,81.83,30,3171511,
1674035619,81.83,81.83,81.8275,81.8275,1,3171511,
1674035620,81.8275,81.8275,81.8275,81.8275,2,3171511,
1674035623,81.83,81.83,81.83,81.83,207,3171511,
1674035625,81.8325,81.8325,81.8325,81.8325,17,3171511,
1674035628,81.8325,81.8325,81.8325,81.8325,17,3171511,
1674035630,81.835,81.835,81.8325,81.8325,346,3171511,
1674035631,81.835,81.835,81.835,81.835,181,3171511,
1674035632,81.835,81.835,81.835,81.835,25,3171511,
1674035633,81.835,81.8375,81.835,81.8375,33,3171511,
1674035634,81.8375,81.8375,81.835,81.835,500,3171511,
1674035635,81.835,81.835,81.835,81.835,62,3171511,
1674035636,81.835,81.835,81.835,81.835,30,3171511,
1674035638,81.8325,81.8325,81.8325,81.8325,39,3171511,
1674035639,81.835,81.835,81.835,81.835,17,3171511,
1674035642,81.835,81.835,81.8325,81.8325,66,3171511,
1674035643,81.8325,81.8325,81.8325,81.8325,84,3171511,
1674035644,81.8325,81.8325,81.8325,81.8325,0,3171511,
1674035645,81.8325,81.8325,81.8325,81.8325,34,3171511,
1674035648,81.8325,81.8325,81.8325,81.8325,16,3171511,
1674035651,81.8325,81.8325,81.8325,81.8325,2,3171511,
1674035653,81.8325,81.8325,81.8325,81.8325,2,3171511,
1674035657,81.8325,81.8325,81.8325,81.8325,139,3171511,
1674035659,81.835,81.835,81.835,81.835,1,3171511,
1674035661,81.8325,81.8325,81.8325,81.8325,3,3171511,
1674035664,81.835,81.835,81.835,81.835,566,3171511,
1674035667,81.835,81.835,81.835,81.835,1,3171511,
1674035672,81.835,81.835,81.8325,81.8325,367,3171511,
1674035681,81.835,81.835,81.835,81.835,50,3171511,
1674035683,81.835,81.835,81.835,81.835,10,3171511,
1674035697,81.8325,81.8325,81.8325,81.8325,3,3171511,
1674035699,81.835,81.835,81.835,81.835,20,3171511,
1674035703,81.835,81.835,81.835,81.835,404,3171511,
1674035709,81.835,81.835,81.835,81.835,64,3171511,
1674035713,81.8325,81.8325,81.8325,81.8325,13,3171511,
1674035714,81.8325,81.8325,81.8325,81.8325,0,3171511,
1674035715,81.8325,81.8325,81.8325,81.8325,247,3171511,
1674035718,81.8325,81.8325,81.8325,81.8325,21,3171511,
1674035724,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035726,81.835,81.835,81.835,81.835,50,3171511,
1674035728,81.835,81.835,81.835,81.835,4,3171511,
1674035729,81.835,81.835,81.835,81.835,1,3171511,
1674035730,81.835,81.835,81.835,81.835,80,3171511,
1674035734,81.8325,81.8325,81.8325,81.8325,2,3171511,
1674035739,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035744,81.8325,81.835,81.8325,81.835,23,3171511,
1674035745,81.835,81.835,81.835,81.835,1,3171511,
1674035748,81.835,81.835,81.835,81.835,7,3171511,
1674035749,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035755,81.835,81.835,81.835,81.835,107,3171511,
1674035756,81.835,81.835,81.835,81.835,21,3171511,
1674035757,81.835,81.835,81.835,81.835,25,3171511,
1674035759,81.835,81.835,81.835,81.835,41,3171511,
1674035761,81.8325,81.8325,81.8325,81.8325,113,3171511,
1674035764,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035766,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035769,81.8325,81.8325,81.8325,81.8325,1,3171511,
1674035771,81.8325,81.8325,81.8325,81.8325,1,3171833,
1674035773,81.8325,81.8325,81.8325,81.8325,2,3171833,
1674035780,81.835,81.835,81.835,81.835,1,3171833,
1674035782,81.8325,81.8325,81.8325,81.8325,320,3171833,
1674035784,81.83,81.83,81.83,81.83,108,3171833,
1674035789,81.83,81.83,81.83,81.83,81,3171833,
1674035790,81.8275,81.8275,81.8275,81.8275,27,3171833,
1674035791,81.8275,81.8275,81.8275,81.8275,66,3171833,
1674035794,81.8325,81.8325,81.8325,81.8325,112,3171833,
1674035797,81.8325,81.8325,81.8325,81.8325,120,3171833,
1674035801,81.8275,81.8275,81.8275,81.8275,200,3171833,
1674035803,81.8325,81.8325,81.8325,81.8325,6,3171833,
1674035804,81.8325,81.8325,81.8325,81.8325,6,3171833,
1674035811,81.83,81.83,81.83,81.83,2,3171833,
1674035813,81.83,81.83,81.83,81.83,4,3171833,
1674035820,81.83,81.83,81.83,81.83,1,3171833,
1674035822,81.83,81.83,81.83,81.83,273,3171833,
1674035825,81.8275,81.8275,81.8275,81.8275,2,3171833,
1674035826,81.83,81.83,81.83,81.83,5,3171833,
1674035830,81.8275,81.8275,81.8275,81.8275,1,3171833,
1674035831,81.825,81.8275,81.825,81.8275,823,3171833,
1674035833,81.825,81.825,81.825,81.825,25,3171833,
1674035834,81.8225,81.8225,81.8225,81.8225,190,3171833,
1674035836,81.82,81.82,81.82,81.82,2,3171833,
1674035838,81.8225,81.8225,81.8225,81.8225,4,3171833,
1674035841,81.8225,81.8225,81.8225,81.8225,50,3171833,
1674035843,81.8225,81.8225,81.8225,81.8225,3,3171833,
1674035845,81.82,81.82,81.82,81.82,654,3171833,
1674035846,81.82,81.82,81.82,81.82,0,3171833,
1674035847,81.82,81.82,81.82,81.82,12,3171833,
1674035850,81.8175,81.8175,81.8175,81.8175,48,3171833,
1674035854,81.815,81.815,81.815,81.815,645,3171833,
1674035856,81.8125,81.8125,81.8125,81.8125,91,3171833,
1674035858,81.8125,81.8125,81.8125,81.8125,165,3171833,
1674035860,81.8075,81.8075,81.8075,81.8075,536,3171833,
1674035861,81.8075,81.8075,81.8075,81.8075,81,3171833,
1674035863,81.805,81.805,81.805,81.805,35,3171833,
1674035864,81.8075,81.8075,81.8075,81.8075,13,3171833,
1674035865,81.805,81.805,81.805,81.805,89,3171833,
1674035866,81.8075,81.8075,81.8075,81.8075,56,3171833,
1674035867,81.805,81.805,81.805,81.805,762,3171833,
1674035868,81.8075,81.8075,81.8075,81.8075,62,3171833,
1674035870,81.805,81.81,81.805,81.81,8,3171833,
1674035871,81.81,81.81,81.81,81.81,286,3171833,
1674035875,81.81,81.81,81.8075,81.8075,384,3171833,
1674035877,81.81,81.81,81.805,81.805,356,3171833,
1674035878,81.8075,81.8075,81.8075,81.8075,7,3171833,
1674035880,81.805,81.805,81.805,81.805,196,3171833,
1674035881,81.81,81.81,81.81,81.81,10,3171833,
1674035884,81.81,81.81,81.81,81.81,65,3171833,
1674035888,81.81,81.81,81.81,81.81,11,3171833,
1674035891,81.81,81.8125,81.81,81.8125,125,3171833,
1674035892,81.8125,81.8125,81.8125,81.8125,0,3171833,
1674035894,81.8125,81.8125,81.8125,81.8125,37,3171833,
1674035895,81.8175,81.8175,81.8175,81.8175,106,3171833,
1674035897,81.8125,81.8125,81.8125,81.8125,153,3171833,
1674035901,81.8075,81.8075,81.8075,81.8075,1026,3171833,
1674035902,81.8075,81.8075,81.805,81.805,3,3171833,
1674035903,81.81,81.81,81.81,81.81,31,3171833,
1674035907,81.805,81.805,81.805,81.805,2,3171833,
1674035909,81.8075,81.8075,81.8075,81.8075,1,3171833,
1674035912,81.805,81.805,81.8025,81.8025,166,3171833,
1674035913,81.805,81.805,81.805,81.805,60,3171833,
1674035915,81.8025,81.8025,81.8025,81.8025,1314,3171833,
1674035917,81.8,81.8025,81.8,81.8025,723,3171833,
1674035919,81.8025,81.8025,81.8025,81.8025,10,3171833,
1674035920,81.805,81.805,81.805,81.805,18,3171833,
1674035923,81.805,81.805,81.805,81.805,8,3171833,
1674035926,81.805,81.805,81.805,81.805,2,3171833,
1674035927,81.805,81.8075,81.805,81.8075,40,3171833,
1674035930,81.805,81.805,81.805,81.805,1014,3171833,
1674035933,81.8075,81.8075,81.8075,81.8075,7,3171833,
1674035934,81.8075,81.8075,81.8075,81.8075,5,3171833,
1674035937,81.805,81.805,81.805,81.805,2077,3171833,
1674035941,81.805,81.805,81.805,81.805,2,3171833,
1674035945,81.8075,81.8075,81.8075,81.8075,9,3171833,
1674035946,81.81,81.81,81.81,81.81,28,3171833,
1674035949,81.8075,81.81,81.8075,81.81,10,3171833,
1674035950,81.81,81.81,81.81,81.81,14,3171833,
1674035951,81.8075,81.81,81.8075,81.81,7,3171833,
1674035952,81.81,81.81,81.81,81.81,6,3170071,
1674035956,81.8075,81.8075,81.8075,81.8075,3,3170071,
1674035958,81.8075,81.8075,81.8075,81.8075,5,3170071,
1674035960,81.8075,81.8075,81.8075,81.8075,50,3170071,
1674035961,81.8075,81.8075,81.8075,81.8075,2,3170071,
1674035964,81.8075,81.8075,81.8075,81.8075,1,3170071,
1674035966,81.8075,81.8075,81.8075,81.8075,1,3170071,
1674035969,81.81,81.81,81.81,81.81,582,3170071,
1674035970,81.81,81.81,81.81,81.81,10,3170071,
1674035971,81.81,81.81,81.81,81.81,5,3170071,
1674035972,81.81,81.81,81.81,81.81,1431,3170071,
1674035974,81.8075,81.8075,81.8075,81.8075,2,3170071,
1674035981,81.8075,81.8075,81.8075,81.8075,215,3170071,
1674035983,81.805,81.805,81.805,81.805,632,3170071,
1674035985,81.805,81.805,81.805,81.805,10,3170071,
1674035987,81.8025,81.8025,81.8025,81.8025,10,3170071,
1674035990,81.8025,81.805,81.8025,81.805,3,3170071,
1674035991,81.805,81.805,81.8025,81.8025,174,3170071,
1674035992,81.8025,81.8025,81.8025,81.8025,165,3170071,
1674035994,81.8025,81.8025,81.8025,81.8025,10,3170071,
1674035995,81.8,81.8,81.8,81.8,3,3170071,
1674035997,81.8,81.8025,81.8,81.8025,500,3170071,
1674036000,81.8,81.8,81.8,81.8,5,3170071,
